product_id,category,quality_risk,feedback_volume,negative_rate,avg_priority_score
PROD-0071,Office Supplies,normal,788,0.4733502538071066,42.31230964467005
PROD-0008,Office Supplies,normal,765,0.469281045751634,42.11477124183006
PROD-0140,Electronics,normal,816,0.4571078431372549,42.09950980392156
PROD-0030,Toys & Games,normal,795,0.45660377358490567,42.2137106918239
PROD-0144,Apparel,elevated,782,0.45652173913043476,41.77429667519181
PROD-0033,Pet Supplies,normal,867,0.4544405997693195,41.83344867358708
PROD-0006,Beauty,normal,797,0.45420326223337515,41.53387703889586
PROD-0122,Sports & Outdoors,normal,784,0.45153061224489793,42.04821428571429
PROD-0087,Home & Kitchen,elevated,807,0.4510532837670384,41.836926889714995
PROD-0058,Electronics,normal,788,0.45050761421319796,41.996827411167516
PROD-0064,Home & Kitchen,normal,804,0.4490049751243781,41.64042288557214
PROD-0124,Pet Supplies,normal,826,0.44794188861985473,41.33414043583535
PROD-0039,Toys & Games,normal,816,0.44730392156862747,41.72132352941176
PROD-0048,Apparel,normal,835,0.4467065868263473,41.83149700598803
PROD-0021,Home & Kitchen,normal,781,0.44558258642765686,41.53444302176697
PROD-0112,Electronics,elevated,788,0.44543147208121825,41.56154822335025
PROD-0078,Toys & Games,normal,759,0.4453227931488801,41.55955204216074
PROD-0136,Office Supplies,normal,784,0.4451530612244898,41.44247448979592
PROD-0108,Electronics,normal,809,0.44499381953028433,41.65636588380717
PROD-0131,Sports & Outdoors,normal,835,0.444311377245509,42.00838323353293
PROD-0088,Toys & Games,normal,768,0.4440104166666667,41.04453125
PROD-0022,Apparel,normal,732,0.44398907103825136,41.899863387978144
PROD-0072,Electronics,normal,809,0.4437577255871446,41.87021013597033
PROD-0011,Toys & Games,normal,823,0.44349939246658565,41.746051032806804
PROD-0134,Pet Supplies,normal,837,0.4432497013142174,41.6778972520908
PROD-0029,Toys & Games,normal,841,0.4423305588585018,41.78680142687277
PROD-0139,Pet Supplies,normal,805,0.4422360248447205,41.175031055900625
PROD-0059,Home & Kitchen,elevated,803,0.44209215442092153,41.191282689912825
PROD-0111,Apparel,elevated,783,0.44061302681992337,41.47049808429119
PROD-0146,Apparel,normal,813,0.4403444034440344,41.69015990159902
PROD-0004,Home & Kitchen,normal,823,0.4398541919805589,41.108140947752126
PROD-0015,Pet Supplies,normal,771,0.4396887159533074,41.416212710765244
PROD-0130,Pet Supplies,normal,819,0.43956043956043955,41.72637362637363
PROD-0005,Apparel,normal,767,0.439374185136897,41.425293350717084
PROD-0036,Office Supplies,normal,797,0.43914680050188204,41.58870765370138
PROD-0135,Pet Supplies,normal,803,0.4383561643835616,41.511457036114564
PROD-0020,Pet Supplies,normal,797,0.437892095357591,41.852697616060226
PROD-0012,Sports & Outdoors,elevated,788,0.43781725888324874,41.461548223350256
PROD-0118,Office Supplies,normal,799,0.43679599499374216,41.40851063829788
PROD-0150,Beauty,normal,839,0.4362336114421931,41.89797377830751
PROD-0070,Apparel,normal,840,0.4357142857142857,41.50547619047619
PROD-0100,Apparel,elevated,776,0.43556701030927836,41.34381443298969
PROD-0009,Electronics,normal,882,0.43537414965986393,41.35861678004535
PROD-0121,Pet Supplies,normal,742,0.4353099730458221,40.980323450134776
PROD-0037,Pet Supplies,normal,765,0.43529411764705883,40.97986928104575
PROD-0089,Home & Kitchen,elevated,789,0.4347275031685678,41.222053231939164
PROD-0067,Apparel,elevated,794,0.4345088161209068,41.317506297229215
PROD-0053,Home & Kitchen,normal,744,0.43413978494623656,41.244354838709675
